channel_name,channel_id,view_count,category,country,defaultLanguage,subscriber_count,created_date,description,custom_url,thumbnail,video_count
Colors TV,UC55IWqFLDH1Xp7iu1_xknRA,81771473830,"Television program, Entertainment, Film",IN,,81300000,2008-06-13T11:09:32Z,Welcome to the official main channel of Colors TV!  Show some love people by subscribing to our channel: http://www.youtube.com/user/colorstv?sub_confirmation=1 Follow us on Google+: https://plus.google.com/108336806150063826507 Follow us on Facebook: https://www.facebook.com/ColorsTV Follow us on Twitter: https://twitter.com/ColorsTV,@colorstv,https://yt3.ggpht.com/YH2mGkzAp3_ViTqTg7oPXiMROQTQIxilqDe50tIrsuUTMA8orJ_ChO3et-TD81s-d8fppKeFJQ=s800-c-k-c0x00ffffff-no-rj,290896
Sony Music India,UC56gTxNs4f9xZ7Pa2i5xNzg,38301181501,"Lifestyle (sociology), Pop music, Music of Asia, Music, Film",IN,,68300000,2009-09-02T23:16:22Z,"Welcome to Sony Music India's official YouTube channel, the ultimate destination for music enthusiasts and fans of the Indian music scene. Immerse yourself in a world of melodies, rhythms, and harmonies as we proudly present ""Sony Music India - Home To India's Biggest Music Hits.""  Step into a realm where musical brilliance knows no bounds, and every beat resonates with the heartbeat of a nation. With a legacy that spans genres and generations, our channel is a testament to the power of music to unite, inspire, and captivate. From timeless classics to contemporary chart-toppers, we curate a diverse range of sounds that cater to every palate.  hit that subscribe button and become a part of our musical family. Tune in daily to satiate your cravings for remarkable tunes, captivating visuals, and the sheer joy that great music brings.   👉 Subscribe: - https://www.youtube.com/@SonyMusicIndia/videos",@sonymusicindia,https://yt3.ggpht.com/42o3XIW1j5zmzsFeZs3ND4QwaXXrnpK9vqftcEuEdbgNhPbltXRktcSmyJ12-gSRqKch93Ir=s800-c-k-c0x00ffffff-no-rj,7321
Ed Sheeran,UC0C-w0YjGpqDXGB8IHb662A,36429015801,"Music, Pop music, Lifestyle (sociology)",,,58500000,2006-08-08T13:59:50Z,Ed Sheeran x  Play - Out Now,@edsheeran,https://yt3.ggpht.com/pZQ5JMD4EOI8TcNYAPTzMexe_fC0CKnb_hYlV4rPfIzmDidF239fH1XKmzkeT30XSg7fxNwc_w=s800-c-k-c0x00ffffff-no-rj,704
Zee TV,UCppHT7SZKKvar4Oc9J4oljQ,1.08791E+11,"Film, Entertainment, Television program",IN,en,95100000,2005-12-11T06:23:26Z,"Launched in 1992, Zee TV is the pioneer of television entertainment industry in India. Official account of India’s pioneering Hindi General Entertainment Channel of India. Our innovative programming has set new benchmarks, and helped us connect with over 3 billion viewers across world. We celebrate the hopes and ambitions of the great Indian middle class community like no other.",@zeetv,https://yt3.ggpht.com/azn2b7O1Xx3JXUYAQ3XqdFl3bvhrcVhumeccIFs6N-VxhrUdhachSlZFCZlM26NEdEvU06mpS2U=s800-c-k-c0x00ffffff-no-rj,217464
ChuChu TV Nursery Rhymes & Kids Songs,channel_id,view_count,category,country,defaultLanguage,subscriber_count,created_date,description,custom_url,thumbnail,video_count
Ariana Grande,UCOmHUn--16B90oW2L6FRR3A,91086251413,"Music of Asia, Pop music, Music, Electronic music",KR,,110751327.5,2016-06-29T03:15:23Z,"BLACKPINK Official YouTube Channel 블랙핑크 공식 유튜브 채널입니다.  JISOO, JENNIE, ROSÉ, LISA 지수, 제니, 로제, 리사",@blackpink,https://yt3.ggpht.com/U3VrCkKjzTpQ3VYv4SCPjNfDHeJV-swGNnhLYhr0nV4lZz_GVUNzK4EB-HFRfKv9S5VNh14uAg=s800-c-k-c0x00ffffff-no-rj,129481.85
5-Minute Crafts,UC3IZKseVpdzPSBaWxBxundA,95096478896,"Hip hop music, Pop music, Music, Music of Asia",KR,,112164113.8,2008-06-04T08:23:22Z,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more.",@hybelabels,https://yt3.ggpht.com/ytc/AIdro_l8g0yRFG8xoe_qeqk8Ki9UFy36cB2IjZEWZWz0h7gl-t0=s800-c-k-c0x00ffffff-no-rj,139346.1559
Aaj Tak,UCVNE660NcgYzi18LwwUZb7Q,99106706378,,,,113576900.1,2019-01-18T05:14:32Z,,@billieeilish8478,https://yt3.ggpht.com/ytc/AIdro_n3NfvUAVtcUJvWhSVp-cDJ7ja-VVlBTwJrzFeJuIgAMw=s800-c-k-c0x00ffffff-no-rj,149210.4618
Billion Surprise Toys,UCF1JIbMUs6uqoZEY1Haw0GQ,1.03117E+11,"Entertainment, Film",IN,,114989686.5,2007-09-01T11:44:51Z,"Welcome to ShemarooEnt, one of the finest destinations for exclusive entertainment content on YouTube.   Celebrating the Golden Jubilee, Shemaroo Entertainment Ltd is among few entertainment companies that has hallmarked several pioneering efforts with its innovative and out-of-the-box thinking. Founded in 1962, Shemaroo Entertainment Ltd is an established media content house in the country, active in Content Acquisition, Value Addition to Content, and Content Distribution with a large content library of over 2900 titles.",@shemaroo,https://yt3.ggpht.com/ytc/AIdro_mhdF4RNZM9OHP-A8BvrQO4q6BenIVFCTfjURrYjYxAxw=s800-c-k-c0x00ffffff-no-rj,159074.7676
EminemMusic,UCYiGq8XF7YQD00x7wAd62Zg,1.07127E+11,"Role-playing video game, Action game, Video game culture, Action-adventure game",CL,,116402472.8,2013-05-19T00:09:13Z,Lento pero seguro.,@juegagerman,https://yt3.ggpht.com/vOsrLzWD4z1dbr470nEXydi3Kb55jW6YqcpQiq1LHyj9IvElga7zBHEfqFZvC26BRKmQimEbiA=s800-c-k-c0x00ffffff-no-rj,168939.0735
Movieclips,UC4NALVCmcmL5ntpV0thoH6w,1.11137E+11,"Entertainment, Music, Film",US,en,117815259.1,2014-08-05T20:15:33Z,"LooLoo Kids💖 is an educational YouTube channel designed for children and parents alike. With a vast collection of nursery rhymes, baby songs, and kid songs, our content is tailored to entertain and inspire kids of all ages while promoting critical thinking, creative exploration, and a sense of imagination. Lovable characters like Johny and his friends, Emmy, Monica, Laura, Siu, and Li take kids on exciting adventures.  At LooLoo Kids, we take education seriously, which is why we ensure that Johny and his friends are always having fun while learning from every adventure and activity. Our channel includes educational kids' songs, kindergarten songs, and learning songs that are perfect for toddlers and preschoolers. From action songs for kids to dance songs and sing-along songs, our animations for kids are among the best. Join us for the best kids' songs, dance songs for kids, and educational children’s songs.",@loolookids,https://yt3.ggpht.com/XQ8Z5bwcV4dgjWEYFI1n1M9W2lgEP6RPh8LxqUq6ScFkXWXXwZIz0TTun_B05TTiTvReU5vy=s800-c-k-c0x00ffffff-no-rj,178803.3794
Vlad and Niki,UCJrDMFOdv1I2k8n9oK_V21w,1.15148E+11,"Film, Music, Music of Asia, Pop music",IN,,119228045.4,2007-05-22T10:13:28Z,"The proud history of Tips Music Limited (Formerly Known as Tips Industries Limited) stretches back over four decades ago, it was founded by Kumar S. Taurani and Ramesh S. Taurani in 1975. Its distributors serve more than 1,000 wholesalers and 400,000 retailers across India. A treat for every music lover and Bollywood connoisseur! Chart-buster songs from super-hit movies like Dil Hai Tumhara, Ramaiya Vastavaiya, Ajab Prem Ki Gazab Kahani and more.  Tips Music - Home To India's Biggest Music Hits. Subscribe to our channel to listen to chartbusters in the making, see premieres of blockbuster videos and get your daily dose of some great music right here.  Subscribe to the Tips Official YouTube channel for all the latest and The Must Have Hits.",@tipsofficial,https://yt3.ggpht.com/zSQrmF-U4JwDv9QalTMOuEEWjGDjM9LvNgahKGGks6WKhe6XEOFf2C4ErQ-1-J9o2wFrHtIw5A=s800-c-k-c0x00ffffff-no-rj,188667.6853
Sony SAB,UCX6OQ3DkcsbYNE6H8uQQuVA,1.19158E+11,"Lifestyle (sociology), Entertainment, Film",US,en,120640831.8,2012-02-20T00:43:50Z,"SUBSCRIBE FOR A COOKIE! New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time! Accomplishments: - Raised $20,000,000 To Plant 20,000,000 Trees - Removed 30,000,000 pounds of trash from the ocean - Helped 2,000 people walk again - Helped 1,000 blind people see - Helped 1,000 deaf people hear - Built wells in Africa - Built and gave away 100 houses - Adopted every dog in a shelter (twice) - Given millions to charity - Started my own snack company Feastables - Started my own software company Viewstats - Started Lunchly, a tasty, better-for-you lunch option - Gave away a private island (twice) - Gave away 1 million meals - I counted to 100k - Ran a marathon in the world's largest shoes - Survived 50 hours in Antarctica - Recreated Squid Game in real life - Created the largest competition show with 1000 people (Beast Games) - Gave $5,000,000 to one person - Passed T-Series to become most subscribed YouTube channel 🥹 you get it, I appreciate all of you so much :)",@mrbeast,https://yt3.ggpht.com/nxYrc_1_2f77DoBadyxMTmv7ZpRZapHR5jbuYe7PlPd5cIRJxtNNEYyOC0ZsxaDyJJzXrnJiuDE=s800-c-k-c0x00ffffff-no-rj,198531.9912
Infobells - Hindi,UCK1i2UviaXLUNrZlAFpw_jA,1.23168E+11,"Music, Entertainment, Film",AR,,122053618.1,2011-06-02T16:20:07Z,"El Reino Infantil es la comunidad digital para niños en español N°1 del mundo. Nuestras historias y canciones fomentan las habilidades clave para la vida, incluyendo la comunicación, la cooperación y la creatividad.  Dentro de El Reino Infantil encontrarás series divertidísimas para disfrutar en familia como La Granja de Zenón, Canciones del Zoo, Bichikids, Paco el Marinero, Rondas, La Familia Blu, Michi-guau ¡Y muchas más!",@elreinoinfantil,https://yt3.ggpht.com/JzIyfovSV3fVXtsYTwnKsTTnJML9bae6MM_NC2wU2F35XPn3NevnFU6YGS1-R-i6Xn2Qj9Zv=s800-c-k-c0x00ffffff-no-rj,208396.2971
Like Nastya,UCIwFjwMjI0y7PDBVEO9-bkQ,1.27178E+11,"Hip hop music, Music, Pop music, Electronic music, Soul music, Rhythm and blues",CA,,123466404.4,2007-01-15T21:17:27Z,,@justinbieber,https://yt3.ggpht.com/4Mz5el_eyeB5cBod2jHMV-CC3fYiuSmDuCT9A9tGyYh03KQyVdrP04KYYMttZItBCtn4kfef=s800-c-k-c0x00ffffff-no-rj,218260.6029
Taylor Swift,UCpEhnqL0y41EpW2TvWAHD7Q,1.31189E+11,"Entertainment, Television program, Film",IN,,124879190.7,2006-09-20T22:24:59Z,"Sony Entertainment Television is one of the leading Hindi General Entertainment channels in India. Since its launch in October 1995, SET has created a unique space, in television programming, with movie premieres, fiction & non–fiction shows. The Kapil Sharma Show, Shark Tank India, Kaun Banega Crorepati, Indian Idol, Bade Achhe Lagte Hain, Adaalat, CID, Crime Patrol and Super Dancer are some of the popular shows by Sony. Drama, suspense, romance & reality, you name and we have it all for you.",@setindia,https://yt3.ggpht.com/vmmZsYmryt238vqck4KAYf69gOSu22ZfqVE3rwT1tYz4hr68xl7crIUK7kghQgR6RiB9IlQ5mQ=s800-c-k-c0x00ffffff-no-rj,228124.9088
YRF,UC22nIfOTM7KLIQuFGMKzQbg,1.35199E+11,"Music of Asia, Music",IN,,126291977.1,2014-10-29T06:45:10Z,"Welcome to Wave Music, the leading Bhojpuri record label in India! Dive into a vibrant collection of captivating tracks from your favorite artists, including Pawan Singh, Khesari Lal Yadav, Shilpi Raj, Neelkamal Singh, Arvind Akela Kallu, Samar Singh, Dinesh Lal Yadav 'Nirhua', Ashish Yadav, Raushan Rohi, Pramod Premi, Chandan Chanchal, Gunjan Singh, Anu Dubey, Ankush Raja, Golu Gold, Shivani Singh, Ritesh Pandey, Jitendra Singh Anshu, Manoj Tiwari, Kalpana, Bharat Sharma Vyas, Khushi Kakkar, Mohini Pandey, Anupama Yadav, Antra Singh Priyanka, Neha Raj, and many more. Our channel features a blend of Lokgeet, movie songs, Sawan, chhath, Chaita, Holi, shiv charcha, Devi geet, Birha, Dugola, Nirgun, Vivah Geet and engaging music videos that celebrate the rich culture and rhythm of Bhojpuri music. Subscribe to stay updated on the latest hits and timeless classics to take you on an unforgettable journey! The channel has more than 50000 tracks of 5000+ artists of different categories.",@wavemusicindia,https://yt3.ggpht.com/-m-efGozwxkvoZiijhjJcLSuUxZQpXvJu9tObrAbfhrtr67AAf1V674HBB8eHixOLHrj3WBlgxI=s800-c-k-c0x00ffffff-no-rj,237989.2147
WWE,UC55IWqFLDH1Xp7iu1_xknRA,1.39209E+11,"Television program, Entertainment, Film",IN,,127704763.4,2008-06-13T11:09:32Z,Welcome to the official main channel of Colors TV!  Show some love people by subscribing to our channel: http://www.youtube.com/user/colorstv?sub_confirmation=1 Follow us on Google+: https://plus.google.com/108336806150063826507 Follow us on Facebook: https://www.facebook.com/ColorsTV Follow us on Twitter: https://twitter.com/ColorsTV,@colorstv,https://yt3.ggpht.com/YH2mGkzAp3_ViTqTg7oPXiMROQTQIxilqDe50tIrsuUTMA8orJ_ChO3et-TD81s-d8fppKeFJQ=s800-c-k-c0x00ffffff-no-rj,247853.5206
PewDiePie,UC56gTxNs4f9xZ7Pa2i5xNzg,1.43219E+11,"Lifestyle (sociology), Pop music, Music of Asia, Music, Film",IN,,129117549.7,2009-09-02T23:16:22Z,"Welcome to Sony Music India's official YouTube channel, the ultimate destination for music enthusiasts and fans of the Indian music scene. Immerse yourself in a world of melodies, rhythms, and harmonies as we proudly present ""Sony Music India - Home To India's Biggest Music Hits.""  Step into a realm where musical brilliance knows no bounds, and every beat resonates with the heartbeat of a nation. With a legacy that spans genres and generations, our channel is a testament to the power of music to unite, inspire, and captivate. From timeless classics to contemporary chart-toppers, we curate a diverse range of sounds that cater to every palate.  hit that subscribe button and become a part of our musical family. Tune in daily to satiate your cravings for remarkable tunes, captivating visuals, and the sheer joy that great music brings.   👉 Subscribe: - https://www.youtube.com/@SonyMusicIndia/videos",@sonymusicindia,https://yt3.ggpht.com/42o3XIW1j5zmzsFeZs3ND4QwaXXrnpK9vqftcEuEdbgNhPbltXRktcSmyJ12-gSRqKch93Ir=s800-c-k-c0x00ffffff-no-rj,257717.8265
BANGTANTV,UC0C-w0YjGpqDXGB8IHb662A,1.47229E+11,"Music, Pop music, Lifestyle (sociology)",,,130530336,2006-08-08T13:59:50Z,Ed Sheeran x  Play - Out Now,@edsheeran,https://yt3.ggpht.com/pZQ5JMD4EOI8TcNYAPTzMexe_fC0CKnb_hYlV4rPfIzmDidF239fH1XKmzkeT30XSg7fxNwc_w=s800-c-k-c0x00ffffff-no-rj,267582.1324
Cocomelon - Nursery Rhymes,UCppHT7SZKKvar4Oc9J4oljQ,1.5124E+11,"Film, Entertainment, Television program",IN,en,131943122.4,2005-12-11T06:23:26Z,"Launched in 1992, Zee TV is the pioneer of television entertainment industry in India. Official account of India’s pioneering Hindi General Entertainment Channel of India. Our innovative programming has set new benchmarks, and helped us connect with over 3 billion viewers across world. We celebrate the hopes and ambitions of the great Indian middle class community like no other.",@zeetv,https://yt3.ggpht.com/azn2b7O1Xx3JXUYAQ3XqdFl3bvhrcVhumeccIFs6N-VxhrUdhachSlZFCZlM26NEdEvU06mpS2U=s800-c-k-c0x00ffffff-no-rj,277446.4382
Jkk Entertainment,channel_id,view_count,category,country,defaultLanguage,subscriber_count,created_date,description,custom_url,thumbnail,video_count
Sony PAL,UCOmHUn--16B90oW2L6FRR3A,1.5525E+11,"Music of Asia, Pop music, Music, Electronic music",KR,,133355908.7,2016-06-29T03:15:23Z,"BLACKPINK Official YouTube Channel 블랙핑크 공식 유튜브 채널입니다.  JISOO, JENNIE, ROSÉ, LISA 지수, 제니, 로제, 리사",@blackpink,https://yt3.ggpht.com/U3VrCkKjzTpQ3VYv4SCPjNfDHeJV-swGNnhLYhr0nV4lZz_GVUNzK4EB-HFRfKv9S5VNh14uAg=s800-c-k-c0x00ffffff-no-rj,287310.7441
Mikecrack,UC3IZKseVpdzPSBaWxBxundA,1.5926E+11,"Hip hop music, Pop music, Music, Music of Asia",KR,,134768695,2008-06-04T08:23:22Z,"Welcome to the official YouTube channel of HYBE, the content hub for BIGHIT MUSIC, BELIFT LAB, SOURCE MUSIC, PLEDIS Entertainment, KOZ ENTERTAINMENT, ADOR, YX LABELS, HYBE x Geffen Records and more.",@hybelabels,https://yt3.ggpht.com/ytc/AIdro_l8g0yRFG8xoe_qeqk8Ki9UFy36cB2IjZEWZWz0h7gl-t0=s800-c-k-c0x00ffffff-no-rj,297175.05
WorkpointOfficial,UCVNE660NcgYzi18LwwUZb7Q,1.6327E+11,,,,136181481.3,2019-01-18T05:14:32Z,,@billieeilish8479,https://yt3.ggpht.com/ytc/AIdro_n3NfvUAVtcUJvWhSVp-cDJ7ja-VVlBTwJrzFeJuIgAMw=s800-c-k-c0x00ffffff-no-rj,307039.3559
ARY Digital HD,UCF1JIbMUs6uqoZEY1Haw0GQ,1.67281E+11,"Entertainment, Film",IN,,137594267.6,2007-09-01T11:44:51Z,"Welcome to ShemarooEnt, one of the finest destinations for exclusive entertainment content on YouTube.   Celebrating the Golden Jubilee, Shemaroo Entertainment Ltd is among few entertainment companies that has hallmarked several pioneering efforts with its innovative and out-of-the-box thinking. Founded in 1962, Shemaroo Entertainment Ltd is an established media content house in the country, active in Content Acquisition, Value Addition to Content, and Content Distribution with a large content library of over 2900 titles.",@shemaroo,https://yt3.ggpht.com/ytc/AIdro_mhdF4RNZM9OHP-A8BvrQO4q6BenIVFCTfjURrYjYxAxw=s800-c-k-c0x00ffffff-no-rj,316903.6618
JioHotstar Kids,UCYiGq8XF7YQD00x7wAd62Zg,1.71291E+11,"Role-playing video game, Action game, Video game culture, Action-adventure game",CL,,139007054,2013-05-19T00:09:13Z,Lento pero seguro.,@juegagerman,https://yt3.ggpht.com/vOsrLzWD4z1dbr470nEXydi3Kb55jW6YqcpQiq1LHyj9IvElga7zBHEfqFZvC26BRKmQimEbiA=s800-c-k-c0x00ffffff-no-rj,326767.9676
Maroon 5,UC4NALVCmcmL5ntpV0thoH6w,1.75301E+11,"Entertainment, Music, Film",US,en,140419840.3,2014-08-05T20:15:33Z,"LooLoo Kids💖 is an educational YouTube channel designed for children and parents alike. With a vast collection of nursery rhymes, baby songs, and kid songs, our content is tailored to entertain and inspire kids of all ages while promoting critical thinking, creative exploration, and a sense of imagination. Lovable characters like Johny and his friends, Emmy, Monica, Laura, Siu, and Li take kids on exciting adventures.  At LooLoo Kids, we take education seriously, which is why we ensure that Johny and his friends are always having fun while learning from every adventure and activity. Our channel includes educational kids' songs, kindergarten songs, and learning songs that are perfect for toddlers and preschoolers. From action songs for kids to dance songs and sing-along songs, our animations for kids are among the best. Join us for the best kids' songs, dance songs for kids, and educational children’s songs.",@loolookids,https://yt3.ggpht.com/XQ8Z5bwcV4dgjWEYFI1n1M9W2lgEP6RPh8LxqUq6ScFkXWXXwZIz0TTun_B05TTiTvReU5vy=s800-c-k-c0x00ffffff-no-rj,336632.2735
